governance_level,municipality_name,state_name,state_short,region,division,reform_mechanism,reform_phase,reform_type,legislative_number_policy_name,time_status,time_R,year,primary_source,secondary_source,description,latitude,longitude,type_plex,type_adu,type_tod,type_other,phase_approved,phase_denied_rejected,phase_early_process,phase_late_process,phase_ongoing,mechanism_ordinance,mechanism_intensive_effort,mechanism_ballot,mechanism_plan_update,washington_binary
Municipality,Anchorage,Alaska,AK,West,Pacific,Municipal Ordinance,Approved,Other Reform,AO No. 2022-80(S),Adopted on 11/22/2022,2022-11-22,2022,"https://www.sightline.org/2022/11/23/anchorage-assembly-unites-to-end-parking-mandates/#:~:text=Anchorage%2C%20Alaska%2C%20has%20eliminated%20all,differences%20with%20a%20unanimous%20vote.",https://www.muni.org/Departments/Assembly/PressReleases/SiteAssets/Pages/Parking-Minimum-Ordinance/AO_2022-80%28S%29_1_T21_PARKING_AND_SITE_ACCESS_--_11-16-2022.FINAL.DOCX.DOCX.pdf,"The City of Anchorage adopted an ordinance which removed mandatory parking minimums from the city. The policy goals of this reform were threefold. First, the city intends to make multi-family housing more affordable to build. Second, the city intends to encourage adaptive reuse of underutilized and vacant properties. Third, the city intends to encourage non-automobile forms of mobility and walkability.",61.2163129,-149.894852,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Municipality,Anchorage,Alaska,AK,West,Pacific,Municipal Ordinance,Approved,ADU Reform,Ordinance No. AO 2022-107,Approved on 1/10/2023,2023-01-10,2023,https://www.sightline.org/2023/03/17/anchorage-adopts-model-adu-reforms/,"https://www.muni.org/Lists/AssemblyListDocuments/Attachments/796369/AO%202022-107,%20As%20Amended.pdf","The City of Anchorage adopted an accessory dwelling unit (ADU) reform ordinance, and it made three central changes. The first is that it allowed ADUs to be built on single-family zoned districts across the jurisdiction. The second is that it allowed for ADU development on multi-family and commercially zoned districts, which makes the policy more extensive than many others enacted in the US. The third is that it reduced certain owner occupancy requirements for building or renting an ADU. Lastly, it seems that the city has intentions of making the ADU process public-facing and as accessible as possible, to the segment of the public who could utilize the policy.",61.2163129,-149.894852,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Municipality,Tucson,Arizona,AZ,West,Mountain,Intensive Zoning Code Effort,Approved,ADU Reform,Ordinance 11890,Adopted on 12/07/2021,2021-12-07,2021,https://www.tucsonaz.gov/pdsd/accessory-dwelling-units-code-amendment,https://codelibrary.amlegal.com/codes/tucson/latest/tucson_az_udc/0-0-0-5276,"The City Council of Tucson adopted an ordinance to allow Accessory Dwelling Units (ADUs), or what they also refer to as casitas, in zones that allow residential uses. There are three main parts to this ordinance. The first is that one ADU is permitted per residential lot. The second is that there are height limits for an ADU of either 12ft, or the height of the primary structure. The last is that an ADU requires 1 additional off-street parking, but this can be waived for lots close to transit or cycling infrastructure. An important provision of this ordinance is that it will sunset in late 2026, unless extended by the city.",32.2228765,-110.9748477,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Municipality,Tucson,Arizona,AZ,West,Mountain,Municipal Ordinance,Approved,TOD Reform,Downtown Area Infill Incentive District (IID),Adopted on 9/09/2009,2009-09-09,2009,https://tucson-infill-incentive-district-iid-cotgis.hub.arcgis.com/pages/iid-background,https://tucsonaz.onbaseonline.com/1801AgendaOnline/Documents/ViewDocument/ATTACHMENT%20B%20-%20MAP%20OF%20THE%20INFILL%20INCENTIVE%20DISTRICT.pdf?meetingId=1585&documentType=Minutes&itemId=63896&publishId=89269&isSection=false,"The City of Tucson adopted their Downtown Area Infill Incentive District (IID) in 2009, and it has been updated somewhat regularly in subsequent years. In its first implementation, the downtown district had two main goals. The first was to facilitate infill development. The second was to establish a transit-oriented development (TOD) program for the downtown area of the city. We include this effort into our tracker because it was an early TOD overlay which has allowed for new housing and economic development in the jurisdiction, over time.",32.2228765,-110.9748477,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Municipality,Tucson,Arizona,AZ,West,Mountain,Municipal Ordinance,Approved,TOD Reform,Downtown Area Infill Incentive District (IID),Approved on 12/20/2022,2022-12-20,2022,https://www.tucsonaz.gov/pdsd/special-districts#IID,https://tucson-infill-incentive-district-iid-cotgis.hub.arcgis.com/,"The City of Tucson adopted their Downtown Area Infill Incentive District (IID) in 2009, and it has been updated somewhat regularly in subsequent years. This update in 2022 was a major reformulation of the ordinance, which made several central changes. The first is that it allowed for residential development in industrial areas. The second is that it further incentivized affordable housing through its TOD provision. The third is that it extended the spatial coverage of the overlay. The fourth is that it removed the sunset provision of the ordinance, which would have otherwise removed the ordinance from the code if it wasn't extended by the city after a certain date. We include this effort into our tracker because it was an early TOD overlay which has allowed for new housing and economic development in the jurisdiction, over time.",32.2228765,-110.9748477,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Municipality,Fayetteville,Arkansas,AR,South,West South Central,Municipal Ordinance,Approved,Other Reform,Ordinance No. 6076,Approved on 8/07/2018,2018-08-07,2018,https://www.cnu.org/publicsquare/2018/08/30/gentle-density-making-neighborhoods-transit-ready,https://library.municode.com/ar/fayetteville/ordinances/code_of_ordinances?nodeId=908253,"The City Council of Tucson adopted an ordinance to allow Accessory Dwelling Units (ADUs), or what they also refer to as casitas, in zones that allow residential uses. There are three main parts to this ordinance. The first is that one ADU is permitted per residential lot. The second is that there are height limits for an ADU of either 12ft, or the height of the primary structure. The last is that an ADU requires 1 additional off-street parking, but this can be waived for lots close to transit or cycling infrastructure. An important provision of this ordinance is that it will sunset in late 2026, unless extended by the city.",36.0625843,-94.1574328,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Municipality,Berkeley,California,CA,West,Pacific,Municipal Ordinance,Approved,Other Reform,"Ordinance No. 7,751-N.S.",Passed on 1/26/2021,2021-01-26,2021,https://www.berkeleyside.org/2021/01/27/berkeley-parking-reform,https://berkeleyca.gov/sites/default/files/documents/2021-02-09%20Item%2004%20Ordinance%207751.pdf,"The City of Berkeley passed an ordinance which removed mandatory parking minimums from the zoning code. The purpose and the intentions of the city with this reform were largely based around removing the minimums in order to: A) promote more housing, and B) disincentivize car infrastructure and promote green forms of mobility, in light of the climate crisis. An important context for this reform, besides the broad consensus in planning research showing that parking minimums are not good policy from a housing or climate perspective, is a study by the city found which that over 50% of parking in the city remains nonutilized and vacant.",37.8708393,-122.272863,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Municipality,Berkeley,California,CA,West,Pacific,General Plan Update,Approved,Plex Reform,Berkeley 2023-2031 Housing Element,Approved on 2/28/2023,2023-02-28,2023,https://www.berkeleyside.org/2023/01/19/berkeley-housing-element-zoning-demolition-elmwood-shattuck-solano,https://berkeleyca.gov/construction-development/land-use-development/general-plan-and-area-plans/housing-element-update,"The City Council of Berkeley approved their Housing Element, following an initial rejection from the California Department of Housing and Community Development (HCD). The plan itself was initially adopted on January 18, 2023 in the Berkeley City Council, but the update was rejected by HCD because it didn't go far enough in: A) specifying how the city would upzone higher opportunity communities, and B) making technical changes in the permitting process which would make fulfilling the city's building goals more feasible. The new housing element made three central changes. The first is that it allowed property owners to establish plex multifamily units in areas which were before only limited to single-family property. The second is that it removed barriers from the approval process by doing away with public hearing provisions. The third is that it intentionally identified certain streets to upzone, and to specifically focus efforts on for future multifamily development, throughout the city (College, Solano and Shattuck Avenues). It may be expected that these directives will be codified through ordinances hereafter.",37.8708393,-122.272863,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Municipality,Culver City,California,CA,West,Pacific,Municipal Ordinance,Approved,Other Reform,Ordinance No. 2022-008,Adopted on 10/24/2022,2022-10-24,2022,https://la.streetsblog.org/2022/10/25/culver-city-abolishes-parking-requirements-citywide,https://culver-city.legistar.com/View.ashx?M=F&ID=11337428&GUID=A9AFD187-45F5-4F89-879A-C9351BC89C40,"The City Council of Culver City adopted an ordinance that removed mandatory parking minimums from the zoning code. The ordinance made three changes. First, it formally removed parking minimums from the zoning code while also specifying that such a removal does not preclude the provision of parking for development. Second, it streamlined administrative processes for alternative parking methods. Third, it shifted bicycle parking requirements throughout the city. The most important change, clearly, and the one most constitutive of zoning reform is the first.",34.0211224,-118.396466,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Municipality,Los Angeles,California,CA,West,Pacific,Ballot Measure,Approved,TOD Reform,Build Better LA Initiative,Approved on 11/7/2016,2016-11-07,2016,https://bca.lacity.org/measure-JJJ,https://clkrep.lacity.org/onlinedocs/2016/16-0684_ORD_184745_2-15-17.pdf,"In the City of Los Angeles, ACT-LA, a coalition of organizations focused on transit, housing and labor, organized to get Measure JJJ on the 2016 ballot. The measure itself passed in November 2016, and resulted in the amendment of the LA Municipal Code which created the Transit Oriented Communities (TOC) program, which is a part of the larger Build Better LA Initiative. This program itself instituted an incentive system to create more dense construction of rental housing near major transit corridors and stations. An important feature of the program is that it mandated a certain share of affordable housing in each development for residents at different income brackets, which is part and parcel of its inclusionary requirement. Lastly, the program instituted hiring preferences for local labor if the building project meets certain conditions.",34.0536909,-118.242766,0,0,1,0,1,0,0,0,0,0,0,1,0,0
