"","governance_level","municipality_name","state_name","state_short","region","division","reform_mechanism","reform_phase","reform_type","legislative_number_policy_name","time_status","time_R","year","primary_source","secondary_source","description","latitude","longitude","type_plex","type_adu","type_tod","type_other","phase_approved","phase_denied_rejected","phase_early_process","phase_late_process","phase_ongoing","mechanism_ordinance","mechanism_intensive_effort","mechanism_ballot","mechanism_plan_update","washington_binary"
"1","Municipality","Tucson","Arizona","AZ","West","Mountain","Intensive Zoning Code Effort","Approved","ADU Reform","Ordinance 11890","Adopted on 12/07/2021",2021-12-07,2021,"https://www.tucsonaz.gov/pdsd/accessory-dwelling-units-code-amendment","https://codelibrary.amlegal.com/codes/tucson/latest/tucson_az_udc/0-0-0-5276","The City Council of Tucson adopted an ordinance to allow Accessory Dwelling Units (ADUs), or what they also refer to as casitas, in zones that allow residential uses. There are three main parts to this ordinance. The first is that one ADU is permitted per residential lot. The second is that there are height limits for an ADU of either 12ft, or the height of the primary structure. The last is that an ADU requires 1 additional off-street parking, but this can be waived for lots close to transit or cycling infrastructure. An important provision of this ordinance is that it will sunset in late 2026, unless extended by the city.",32.2228765,-110.9748477,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"2","Municipality","Berkeley","California","CA","West","Pacific","Municipal Ordinance","Approved","Other Reform","Ordinance No. 7,751-N.S.","Passed on 1/26/2021",2021-01-26,2021,"https://www.berkeleyside.org/2021/01/27/berkeley-parking-reform","https://berkeleyca.gov/sites/default/files/documents/2021-02-09%20Item%2004%20Ordinance%207751.pdf","The City of Berkeley passed an ordinance which removed mandatory parking minimums from the zoning code. The purpose and the intentions of the city with this reform were largely based around removing the minimums in order to: A) promote more housing, and B) disincentivize car infrastructure and promote green forms of mobility, in light of the climate crisis. An important context for this reform, besides the broad consensus in planning research showing that parking minimums are not good policy from a housing or climate perspective, is a study by the city found which that over 50% of parking in the city remains nonutilized and vacant.",37.8708393,-122.272863,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"3","Municipality","New Haven","Connecticut","CT","Northeast","New England","Municipal Ordinance","Approved","ADU Reform","Amendments to allow Accessory Dwelling Units in RM-1,RM-2,RS-1 and RS-2: and to reduce Minimum Lot size to 4000 SF","Passed on 10/4/2021",2021-10-04,2021,"https://www.newhavenindependent.org/article/adus1","https://scrcog.org/wp-content/uploads/2021/06/06-RPC-June21.pdf","The Board of Alders of New Haven approved an ordinance which made it easier for homeowners in single-family areas to build attached ADUs. The ordinance itself is a part of the city's intention to phase in ADUs into single-family zoned areas, and the ordinance may be a stepping stone towards future legislation allowing detached ADU structures. To conclude, as of yet, the municipal code of the city merely allows ADU construction in the form of garages, attics, and basements, or other 'existing' structures, but not building detached ADUs from scratch.",41.3082138,-72.9250518,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"4","Municipality","Atlanta","Georgia","GA","South","South Atlantic","Municipal Ordinance","Denied/Rejected","ADU Reform","Ordinance No. 21-O-0456","Last Action on 11/29/2021",2021-11-29,2021,"https://whatnowatlanta.com/city-of-atlanta-looks-to-ease-adu-legislation-to-create-more-affordable-housing-options/","https://atlantacityga.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=3314&Inline=True","The City Council of Atlanta was deciding earlier on an ADU ordinance drafted by Councilmember Farokhi, but it was ""filed,"" or essentially softly struck down, due to political disagreement expressed by the city's 25 Neighborhood Planning Units (NPUs). The ordinance itself would have amended the current language of the zoning code concerning ADUs, and would have made three central changes. The first change is that it would have allowed ADUs to be built or converted throughout a broader scope of the city. The second is that it would have increased the maximum allowable size of ADUs. The third is that it would have removed a minimum parking requirement.",33.7489924,-84.3902644,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"5","Municipality","Atlanta","Georgia","GA","South","South Atlantic","Municipal Ordinance","Denied/Rejected","TOD Reform","Ordinance No. 21-O-0454","Last Action on 6/06/2021",2021-06-06,2021,"https://atlantaciviccircle.org/2021/07/20/city-legislation-seeks-to-boost-residential-density-by-transit-stops/","http://atlantacityga.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3360&MediaPosition=&ID=24426&CssClass=","The City Council of Atlanta was considering an ordinance which would have implemented a Transit Oriented Development (TOD) policy throughout the entire city. This ordinance would have worked principally through rezoning transit stops near high traffic stations. Specifically, Low-Density Residential zones within half a mile of high-capacity transit stations would have been upzoned to Multifamily Residential Multi-Use (MR-MU). The outcome was that the ordinance was essentially ""referred,"" meaning filed away, or softly struck down.",33.7489924,-84.3902644,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"6","Municipality","Carmel","Indiana","IN","Midwest","East North Central","Municipal Ordinance","Denied/Rejected","ADU Reform","""Accessory Dwelling Units"" Ordinance","Denied on 2/15/2021",2021-02-15,2021,"https://www.indystar.com/story/news/local/hamilton-county/2021/02/18/carmel-city-council-rejects-granny-flats-accessory-dwelling-units-proposal/6798672002/","https://www.youarecurrent.com/2021/02/16/carmel-city-council-votes-not-to-change-process-for-adding-in-law-quarters/","The City of Carmel was considering an ordinance which would have made ADUs more numerous and easy to build on single-family zoned land in the city. The ordinance would have accomplished this in two main changes. The first is that it would have reduced the difficulty of the ADU application process by removing the requirement to apply to the Board of Zoning Appeals for approval. The second is that it would have required that 20% of new residential lot development have an ADU. Due to conflict in the council, and dilutions of the original ordinance, the amended ordinance was eventually struck down in the council. The current process for constructing or converting an ADU in the city requires a homeowner interested in this form of development, to apply for approval through the Carmel Board of Zoning Appeals.",39.9788017,-86.1189257,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"7","Municipality","South Bend","Indiana","IN","Midwest","East North Central","Municipal Ordinance","Approved","Other Reform","Article 21-07: Access & Parking","Adopted on 9/17/2021",2021-09-17,2021,"https://www.greaterohio.org/blog/2021/2/9/south-bend-indiana-council-votes-to-eliminate-parking-requirements-citywide#:~:text=Previously%2C%20the%20City%20of%20South,this%20change%20(Guevara%202021).","http://docs.southbendin.gov/WebLink/0/edoc/346088/21-07%20Access%20and%20Parking.pdf","The Common Council of South Bend adopted an ordinance that removed mandatory parking minimums from the zoning code. The ordinance applies to both commercial and residential developments and follows an earlier city effort, in the year of the city-wide adoption, which saw the city remove parking minimums in the designated downtown of the jurisdiction.",41.6833813,-86.2500066,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"8","Municipality","Iowa City","Iowa","IA","Midwest","West North Central","Municipal Ordinance","Approved","Other Reform","Ordinance No. 21-4866","Adopted on 11/05/2021",2021-11-05,2021,"https://www.icgov.org/project/form-based-zones-and-standards","https://www.press-citizen.com/story/news/2021/10/06/iowa-city-council-south-district-zoning-plan-clears-first-hurdle-form-based-code-affordable-housing/5952816001/","The Iowa City Council adopted an ordinance which instituted a form-based code for 900 acres of residential land in the South District of the city. The ordinance itself was passed with the intention of creating capacity for mixed-use and missing middle housing such as duplex and fourplexes, in the area. A limitation with this ordinance is that it only permits form-based code in a small area of the city, within the South District in particular, and not throughout the entire jurisdiction.",41.6612561,-91.5299106,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"9","Municipality","Louisville","Kentucky","KY","South","East South Central","Municipal Ordinance","Approved","ADU Reform","Ordinance No. 092, Series 2021","Passed on 6/24/2021",2021-06-24,2021,"https://louisvilleky.gov/government/planning-design/accessory-dwelling-units-adu","https://louisvilleky.gov/planning-design/document/21-ldc-0004-accessory-dwelling-ordinance","The Louisville Metro Council passed an ordinance which allowed both attached and detached ADU construction by-right in the metro, with special standards. A prior version of the code merely allowed ADUs to be established through a conditional-use permitting process, which made it considerably more difficult for them to be established. The ADU ordinance made three central changes. The first is that it allowed ADUs by-right with certain special standards. The second is that it created a provision deterring ADU construction or conversion for an absentee landlord. The third is that it prohibited ADU construction in environmentally constrained areas.",38.2542376,-85.759407,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"10","Municipality","Lexington","Kentucky","KY","South","East South Central","Municipal Ordinance","Approved","ADU Reform","Ordinance No. 102-2021","Passed on 10/28/2021",2021-10-28,2021,"https://www.imaginelexington.com/adu","https://library.municode.com/ky/lexington-fayette_county/ordinances/zoning_ordinance?nodeId=1116990","The Urban County Council of the Lexington-Fayette Urban County Government, as a codification of their 2018 Comprehensive Plan, passed an ordinance focused on ADU reform in single-family zoned areas. This ordinance specifically allowed for the conversion of detached ADUs such as garages or barns, as well as construction of exterior and internal ADUs that are attached to a primary dwelling. Both types of ADUs are only permitted in single-family zoned areas. An important note is that the ordinance does require a pre-application conference with the planning department, before submitting a building permit application for the ADU.",38.0464066,-84.4970393,0,1,0,0,1,0,0,0,0,1,0,0,0,0
